asset_type,ticker,starting_capital,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,final_profit_loss,return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,buys,sales,open_lots,unrealized_pnl_on_open_lots,participation_percent_of_eligible_minutes,average_holding_minutes_closed,maximum_drawdown_percent,eligible_minutes,trading_sessions,first_close,final_close,underlying_price_change_percent,first_timestamp,final_timestamp,buy_and_hold_profit_loss,initial_capital,final_cash,open_lot_cost_basis,open_liquidation_value,skipped_buys,realized_profit_before_final_liquidation,max_open_lots,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_timestamp
etf,QQQ,300,1.0,1.222444666889122,357.7721275502044,57.7721275502044,19.257375850068126,395.18754556453814,31.729181854846054,9018,8632,386,-28.54787244977956,9.230013407981332,15816.670759962928,11.447986126141945,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.3199999999839438,386.0,357.45212755022044,88685,86.32000000000725,386,89578,106599,0.5792400370713624,22.532437442075995,64.42307692307692,86.75857275254866,1672260240
etf,QQQ,300,2.0,2.2246470893335424,366.15344424008157,66.15344424008157,22.051148080027193,395.18754556453814,31.729181854846054,5081,4688,393,-27.606555759921378,5.200454438451224,29296.922141638224,12.35259818300969,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.760000000002961,393.0,365.3934442400786,92622,93.75999999999848,393,112636,112341,0.0,4.0315699658703075,37.649317406143346,72.99488054607508,1672260240
etf,QQQ,300,3.0,3.226849511778007,374.3618834518557,74.3618834518557,24.787294483951893,395.18754556453814,31.729181854846054,3692,3294,398,-24.4581165481452,3.778799013336336,41809.89253187614,12.333976715809527,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.8200000000009171,398.0,373.5418834518548,94011,98.82000000000298,398,132477,112708,0.0,2.3375834851244686,25.288403157255615,60.868245294474804,1672260240
etf,QQQ,300,4.0,4.22905193422245,385.6724871552745,85.6724871552745,28.557495718424832,395.18754556453814,31.729181854846054,3171,2761,410,-24.767512844724877,3.245550290165092,50384.23976819993,12.342968513146033,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.4399999999993769,410.0,385.2324871552751,94532,110.44000000000607,410,142231,114125,0.0,0.7605939876856211,12.024628757696487,60.1593625498008,1672260240
etf,QQQ,300,5.0,5.2312543566669145,379.3650958174856,79.36509581748561,26.455031939161877,395.18754556453814,31.729181854846054,2469,2066,403,-23.934904182515822,2.5270462524180424,65126.334946757015,12.367205153283198,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.30000000000141336,403.0,379.0650958174842,95234,103.29999999999627,403,149628,152903,0.0,0.0,0.0968054211035818,35.86640851887706,1672260240
etf,QQQ,300,6.0,6.233456779111335,386.02208932962566,86.02208932962566,28.674029776541875,395.18754556453814,31.729181854846054,2091,1690,401,-15.377910670376082,2.1401594628619387,75666.77455621301,12.367205153283194,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.4000000000017607,401.0,385.6220893296239,95612,101.40000000000232,401,150906,152922,0.0,0.0,0.0,34.61538461538461,1672260240
etf,QQQ,300,7.000000000000001,7.2356592015558,391.49537099006733,91.49537099006733,30.498456996689114,395.18754556453814,31.729181854846054,2040,1627,413,-22.394629009928906,2.087960451572623,83244.69821757836,12.367205153283244,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.8899999999962382,413.0,390.6053709900711,95663,113.88999999999538,413,183094,155909,0.0,0.0,0.0,22.556853103872157,1672260240
etf,QQQ,300,8.0,8.237861624000242,388.47487646073165,88.47487646073165,29.491625486910557,395.18754556453814,31.729181854846054,1758,1350,408,-19.525123539271647,1.7993306244434664,98931.24962962963,12.327519401902352,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,3.296918293926865e-12,408.0,388.47487646072835,95945,107.99999999999805,408,195797,152951,0.0,0.0,0.0,7.2592592592592595,1672260240
etf,QQQ,300,9.0,9.240064046444685,392.26110922769595,92.26110922769595,30.753703075898642,395.18754556453814,31.729181854846054,1681,1267,414,-21.768890772305156,1.7205203524968526,104268.96921862668,12.31522409308711,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.030000000001133564,414.0,392.23110922769484,96022,114.03000000000306,414,217445,171746,0.0,0.0,0.0,20.994475138121548,1672260240
etf,QQQ,300,10.0,10.242266468889127,381.4100126944468,81.41001269444678,27.136670898148928,395.18754556453814,31.729181854846054,1392,993,399,-17.889987305551813,1.4247259551907312,128028.80463242698,12.36720515328321,97703,251,271.43,358.34,32.019305161551756,1664544600,1696017540,95.18754556453814,300.0,0.29999999999856186,399.0,381.1100126944482,96311,99.29999999999863,399,178939,155909,0.0,0.0,0.0,14.400805639476335,1672260240
